user,broker,API key,API secret,pnl,margin,max_risk
user113,BrokerB,APIKEY_2481,APISECRET_48637,-3669.669,39863.92,9.79
user_3,BrokerB,APIKEY_7580,APISECRET_92061,-1349.18,37607.74,0.36
user_4,BrokerC,APIKEY_1819,APISECRET_66637,1114.96,42650.44,2.59
user_5,BrokerA,APIKEY_9241,APISECRET_77485,1779.82,36279.78,4.47
user_6,BrokerB,APIKEY_3843,APISECRET_67949,677.96,2226.61,6.31
user_7,BrokerA,APIKEY_4889,APISECRET_50033,-3227.61,43271.03,9.89
user_8,BrokerB,APIKEY_2998,APISECRET_64865,513.78,5138.49,1.988
user_9,BrokerB,APIKEY_5588,APISECRET_29626,-2203.73,12033.94,6.49
user_10,BrokerC,APIKEY_8492,APISECRET_68319,212.89,40958.06,5.69
user_11,BrokerB,APIKEY_9496,APISECRET_51317,1567.69,6536.02,8.64
user_12,BrokerA,APIKEY_6808,APISECRET_74291,-4358.3,24420.21,5.7
user_14,BrokerD,APIKEY_9875,APISECRET_78964,1567.89,6524.18,8.1
